Date,Close,,
12/31/95,0.99407,,
1/31/96,0.9951,,
2/29/96,0.99478,,
3/31/96,0.99488,,
4/30/96,0.99483,,
5/31/96,0.99499,,
6/30/96,0.99472,,
7/31/96,0.99507,,
8/31/96,0.99489,,
9/30/96,0.99465,,
10/31/96,0.99495,,
11/30/96,0.99472,,
12/31/96,0.99483,,
1/31/97,0.99511,,
2/28/97,0.99476,,
3/31/97,0.9944,,
4/30/97,0.99485,,
5/31/97,0.99469,,
6/30/97,0.99453,,
7/31/97,0.99459,,
8/31/97,0.9947,,
9/30/97,0.99472,,
10/31/97,0.99471,,
11/30/97,0.99445,,
12/31/97,0.99428,,
1/31/98,0.99508,,
2/28/98,0.99455,,
3/31/98,0.99457,,
4/30/98,0.99444,,
5/31/98,0.99475,,
6/30/98,0.99472,,
7/31/98,0.99459,,
8/31/98,0.99458,,
9/30/98,0.99512,,
10/31/98,0.99507,,
11/30/98,0.99498,,
12/31/98,0.99497,,
1/31/99,0.99566,,
2/28/99,0.99467,,
3/31/99,0.99512,,
4/30/99,0.99485,,
5/31/99,0.99526,,
6/30/99,0.99518,,
7/31/99,0.99496,,
8/31/99,0.99492,,
9/30/99,0.9954,,
10/31/99,0.99489,,
11/30/99,0.99393,,
12/31/99,0.99434,,
1/31/00,0.99495,,
2/29/00,0.99448,,
3/31/00,0.99421,,
4/30/00,0.99391,,
5/31/00,0.99395,,
6/30/00,0.99299,,
7/31/00,0.99345,,
8/31/00,0.99365,,
9/30/00,0.99365,,
10/31/00,0.99383,,
11/30/00,0.9935,,
12/31/00,0.99313,,
1/31/01,0.99541,,
2/28/01,0.99514,,
3/31/01,0.99524,,
4/30/01,0.99569,,
5/31/01,0.99609,,
6/30/01,0.99628,,
7/31/01,0.99636,,
8/31/01,0.99654,,
9/30/01,0.9974,,
10/31/01,0.99792,,
11/30/01,0.99796,,
12/31/01,0.99821,,
1/31/02,0.99837,,
2/28/02,0.99824,,
3/31/02,0.99825,,
4/30/02,0.9983,,
5/31/02,0.99824,,
6/30/02,0.99823,,
7/31/02,0.99831,,
8/31/02,0.99824,,
9/30/02,0.99825,,
10/31/02,0.99841,,
11/30/02,0.99863,,
